date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-08,moderna,fully_vaccinated,0,0,159338,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-09,moderna,fully_vaccinated,0,0,169402,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-10,moderna,fully_vaccinated,0,0,178662,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-11,moderna,fully_vaccinated,0,0,188909,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-12,moderna,fully_vaccinated,0,0,197450,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-13,moderna,fully_vaccinated,0,0,199277,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-14,moderna,fully_vaccinated,0,0,199625,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-15,moderna,fully_vaccinated,0,0,206898,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-16,moderna,fully_vaccinated,0,0,215423,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-17,moderna,fully_vaccinated,0,0,224457,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-18,moderna,fully_vaccinated,0,0,233506,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-19,moderna,fully_vaccinated,0,0,241564,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-20,moderna,fully_vaccinated,0,0,243241,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-21,moderna,fully_vaccinated,0,0,243354,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-22,moderna,fully_vaccinated,0,0,250208,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-23,moderna,fully_vaccinated,0,0,257917,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-24,moderna,fully_vaccinated,0,0,265121,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-25,moderna,fully_vaccinated,0,0,272942,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-26,moderna,fully_vaccinated,0,0,278923,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-27,moderna,fully_vaccinated,0,0,280155,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-28,moderna,fully_vaccinated,0,0,280661,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-29,moderna,fully_vaccinated,0,0,285839,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-30,moderna,fully_vaccinated,0,0,290618,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-31,moderna,fully_vaccinated,0,0,296798,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-01,moderna,fully_vaccinated,0,0,304632,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-02,moderna,fully_vaccinated,0,0,306282,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-03,moderna,fully_vaccinated,0,0,307407,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-04,moderna,fully_vaccinated,0,0,307421,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-05,moderna,fully_vaccinated,0,0,307725,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-06,moderna,fully_vaccinated,0,0,314654,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-07,moderna,fully_vaccinated,0,0,321146,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-08,moderna,fully_vaccinated,0,0,328795,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-09,moderna,fully_vaccinated,0,0,335697,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-10,moderna,fully_vaccinated,0,0,338008,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-11,moderna,fully_vaccinated,0,0,338205,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-12,moderna,fully_vaccinated,0,0,342260,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-13,moderna,fully_vaccinated,0,0,347596,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-14,moderna,fully_vaccinated,0,0,352844,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-15,moderna,fully_vaccinated,0,0,358858,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-16,moderna,fully_vaccinated,0,0,364545,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-17,moderna,fully_vaccinated,0,0,366565,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-18,moderna,fully_vaccinated,0,0,366589,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
