geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH03,202053,4441,722,3719,32303,1,100,16.3,1.9000000000000004,18.8,1181776,375.79,2733.43,-1486,-125.74,0,-25.1,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH04,202053,9960,1500,8460,87566,1,100,15.1,6.199999999999999,12.2,1553423,641.16,5636.97,-6396,-411.74,0,-39.1,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202053,6765,1123,5642,68721,1,100,16.6,3.200000000000001,13.1,1193069,567.03,5760.02,-1897,-159,0,-21.9,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202053,3667,579,3088,23418,1,100,15.8,4.700000000000001,14,825745,444.08,2835.98,-1361,-164.82,0,-27.1,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202053,1335,206,1129,8055,1,100,15.4,2.5999999999999996,15.5,350986,380.36,2294.96,-322,-91.74,0,-19.4,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202053,20659,2287,18372,721318,1,100,11.1,3.3999999999999995,16.1,1669608,1237.36,43202.84,-7497,-449.02,0,-26.6,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH02,202053,20290,3424,16866,572218,1,100,16.9,2.8999999999999986,14.9,1895693,1070.32,30185.16,-5257,-277.31,0,-20.6,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH03,202053,15225,2599,12626,386351,1,100,17.1,3.200000000000001,10.9,1181776,1288.32,32692.41,-6558,-554.92,0,-30.1,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH04,202053,19993,3671,16322,593027,1,100,18.4,4.699999999999999,10.7,1553423,1287.03,38175.5,-10199,-656.55,0,-33.8,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH05,202053,11754,2599,9155,327682,1,100,22.1,3.700000000000003,14.4,1193069,985.19,27465.47,-3251,-272.49,0,-21.7,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
