date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202107,male,partially_vaccinated,0,13,139462,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,male,not_vaccinated,22,112,4107359,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,female,fully_vaccinated,2,3,150278,1.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,female,partially_vaccinated,3,24,161458,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,female,not_vaccinated,7,91,4075652,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,male,fully_vaccinated,1,1,115382,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,male,partially_vaccinated,5,18,119978,4.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,male,not_vaccinated,12,124,4086607,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,female,fully_vaccinated,0,3,193774,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,female,partially_vaccinated,2,26,159606,1.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,female,not_vaccinated,14,105,4034008,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,male,fully_vaccinated,0,1,148685,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,male,partially_vaccinated,1,19,120242,0.83,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,male,not_vaccinated,11,135,4053040,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
