sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
male,all,TI,202136,2123,113,2010,184273,5.3,-2.7,9.4,0.454,45.4,170830,1242.76,107869.23,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,149,87.23,7.5,0.09999999999999432,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,UR,202136,973,47,926,30263,4.8,-0.2999999999999998,6.2,0.437,43.7,18768,5184.36,161247.87,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,-14,-74.59,-1.4,-1.7999999999999972,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,VD,202136,7329,747,6582,530127,10.2,-0.6000000000000014,8.9,0.485,48.5,400217,1831.26,132459.89,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,233,58.22,3.3,-0.6000000000000014,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,VS,202136,3936,357,3579,185044,9.1,0.5,11,0.493,49.3,172955,2275.74,106989.68,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,248,143.39,6.7,0.6999999999999957,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,ZG,202136,2387,137,2250,97946,5.7,-0.8999999999999995,5.6,0.51,51,65227,3659.53,150161.74,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,60,91.99,2.6,-1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,ZH,202136,20912,2236,18676,903785,10.7,-0.10000000000000142,8,0.485,48.5,774299,2700.77,116723,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,2572,332.18,14,-0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,AG,202136,8259,797,7462,332859,9.7,-1.3000000000000007,9.1,0.507,50.7,345258,2392.12,96408.77,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,-75,-21.73,-0.9,0.9000000000000057,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,AI,202136,228,70,158,10232,30.7,4.300000000000001,8.5,0.525,52.5,7932,2874.43,128996.47,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,-30,-378.22,-11.6,-1.2000000000000028,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,AR,202136,704,111,593,23572,15.8,2.200000000000001,10.4,0.524,52.400000000000006,27426,2566.91,85947.64,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,-29,-105.74,-4,-0.8999999999999986,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,BE,202136,14697,999,13698,517022,6.8,-0.5,7.9,0.512,51.2,530832,2768.67,97398.42,COVID19Test,sex,2021-12-02_07-48-44,isoweek,2021-36,-558,-105.12,-3.7,-1.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
