date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
27/01/2021,moderna,fully_vaccinated,0,0,128,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
28/01/2021,moderna,fully_vaccinated,0,0,179,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
29/01/2021,moderna,fully_vaccinated,0,0,187,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
30/01/2021,moderna,fully_vaccinated,0,0,187,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
31/01/2021,moderna,fully_vaccinated,0,0,187,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
01/02/2021,moderna,fully_vaccinated,0,0,204,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
02/02/2021,moderna,fully_vaccinated,0,0,231,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
03/02/2021,moderna,fully_vaccinated,0,0,298,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
04/02/2021,moderna,fully_vaccinated,0,0,401,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
05/02/2021,moderna,fully_vaccinated,0,0,442,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
06/02/2021,moderna,fully_vaccinated,0,0,443,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
07/02/2021,moderna,fully_vaccinated,0,0,444,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
08/02/2021,moderna,fully_vaccinated,0,0,472,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
09/02/2021,moderna,fully_vaccinated,0,0,523,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
10/02/2021,moderna,fully_vaccinated,0,0,822,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
11/02/2021,moderna,fully_vaccinated,0,0,998,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
12/02/2021,moderna,fully_vaccinated,0,0,1844,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
13/02/2021,moderna,fully_vaccinated,0,0,3963,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
14/02/2021,moderna,fully_vaccinated,0,0,4043,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
15/02/2021,moderna,fully_vaccinated,0,0,5459,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
16/02/2021,moderna,fully_vaccinated,0,0,9554,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
17/02/2021,moderna,fully_vaccinated,0,0,15209,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
18/02/2021,moderna,fully_vaccinated,0,0,22377,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
19/02/2021,moderna,fully_vaccinated,0,0,29342,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
20/02/2021,moderna,fully_vaccinated,0,0,32838,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
21/02/2021,moderna,fully_vaccinated,0,0,33301,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
22/02/2021,moderna,fully_vaccinated,0,0,41058,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
23/02/2021,moderna,fully_vaccinated,0,0,52693,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
24/02/2021,moderna,fully_vaccinated,0,0,65571,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
25/02/2021,moderna,fully_vaccinated,0,0,79788,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
26/02/2021,moderna,fully_vaccinated,0,0,92663,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
27/02/2021,moderna,fully_vaccinated,0,0,96474,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
28/02/2021,moderna,fully_vaccinated,0,0,97512,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
01/03/2021,moderna,fully_vaccinated,0,0,106814,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
02/03/2021,moderna,fully_vaccinated,0,0,117938,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
03/03/2021,moderna,fully_vaccinated,0,0,129600,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
04/03/2021,moderna,fully_vaccinated,0,0,140797,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-02_07-48-44
