nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
all,CH,202145,238841,27621,211220,11722581,11.6,2,8.3,1,100,8670300,2754.7,135203.87,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-45,40009,461.45,20.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
all,CH,202146,286061,41375,244686,12008642,14.5,2.9000000000000004,8.4,1,100,8670300,3299.32,138503.19,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-46,47220,544.62,19.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,CH,202147,351942,56884,295058,12360584,16.2,1.6999999999999993,8.6,1,100,8670300,4059.17,142562.36,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-47,65881,759.85,23,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,CHFL,202006,1,0,1,1,0,NA,0,1,100,8709355,0.01,0.01,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-06,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202007,1,0,1,2,0,0,0,1,100,8709355,0.01,0.02,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-07,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202009,1853,62,1791,1855,3.3,3.3,3.3,1,100,8709355,21.28,21.3,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-09,1852,21.27,185200,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202010,4796,555,4241,6651,11.6,8.3,9.3,1,100,8709355,55.07,76.37,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-10,2943,33.79,158.8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202011,23622,2327,21295,30273,9.9,-1.6999999999999993,9.7,1,100,8709355,271.23,347.59,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-11,18826,216.16,392.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202012,52613,7390,45223,82886,14,4.1,12.5,1,100,8709355,604.1,951.69,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-12,28991,332.87,122.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202013,43689,8191,35498,126575,18.7,4.699999999999999,14.6,1,100,8709355,501.63,1453.32,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-13,-8924,-102.47,-17,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202014,40252,6800,33452,166827,16.9,-1.8000000000000007,15.2,1,100,8709355,462.17,1915.49,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-14,-3437,-39.46,-7.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202015,32611,4330,28281,199438,13.3,-3.599999999999998,14.9,1,100,8709355,374.44,2289.93,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-15,-7641,-87.73,-19,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202016,27248,2444,24804,226686,9,-4.300000000000001,14.2,1,100,8709355,312.86,2602.79,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-16,-5363,-61.58,-16.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202017,28754,1647,27107,255440,5.7,-3.3,13.2,1,100,8709355,330.15,2932.94,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-17,1506,17.29,5.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202018,30093,1102,28991,285533,3.7,-2,12.2,1,100,8709355,345.53,3278.46,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-18,1339,15.38,4.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202019,28715,665,28050,314248,2.3,-1.4000000000000004,11.3,1,100,8709355,329.7,3608.17,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-19,-1378,-15.83,-4.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202020,32984,395,32589,347232,1.2,-1.0999999999999999,10.3,1,100,8709355,378.72,3986.89,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-20,4269,49.02,14.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202021,25134,280,24854,372366,1.1,-0.09999999999999987,9.7,1,100,8709355,288.59,4275.47,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-21,-7850,-90.13,-23.8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202022,26762,205,26557,399128,0.8,-0.30000000000000004,9.1,1,100,8709355,307.28,4582.75,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-22,1628,18.69,6.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202023,26031,154,25877,425159,0.6,-0.20000000000000007,8.6,1,100,8709355,298.89,4881.64,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-23,-731,-8.39,-2.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202024,36022,221,35801,461181,0.6,0,8,1,100,8709355,413.6,5295.24,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-24,9991,114.71,38.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202025,48660,203,48457,509841,0.4,-0.19999999999999996,7.3,1,100,8709355,558.71,5853.95,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-25,12638,145.11,35.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202026,57468,393,57075,567309,0.7,0.29999999999999993,6.6,1,100,8709355,659.84,6513.79,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-26,8808,101.13,18.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202027,70370,753,69617,637679,1.1,0.40000000000000013,6,1,100,8709355,807.98,7321.77,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-27,12902,148.14,22.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202028,49612,766,48846,687291,1.5,0.3999999999999999,5.7,1,100,8709355,569.64,7891.41,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-28,-20758,-238.34,-29.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202029,42967,843,42124,730258,2,0.5,5.4,1,100,8709355,493.34,8384.75,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-29,-6645,-76.3,-13.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202030,35697,921,34776,765955,2.6,0.6000000000000001,5.3,1,100,8709355,409.87,8794.62,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-30,-7270,-83.47,-16.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202031,37706,1313,36393,803661,3.5,0.8999999999999999,5.2,1,100,8709355,432.94,9227.56,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-31,2009,23.07,5.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202032,38879,1267,37612,842540,3.3,-0.20000000000000018,5.1,1,100,8709355,446.41,9673.97,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-32,1173,13.47,3.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202033,42119,1700,40419,884659,4,0.7000000000000002,5.1,1,100,8709355,483.61,10157.57,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-33,3240,37.2,8.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202034,57818,2087,55731,942477,3.6,-0.3999999999999999,5,1,100,8709355,663.86,10821.43,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-34,15699,180.25,37.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202035,73979,2301,71678,1016456,3.1,-0.5,4.9,1,100,8709355,849.42,11670.85,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-35,16161,185.56,28,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202036,87828,2701,85127,1104284,3.1,0,4.7,1,100,8709355,1008.43,12679.29,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-36,13849,159.01,18.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202037,91322,3239,88083,1195606,3.5,0.3999999999999999,4.6,1,100,8709355,1048.55,13727.84,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-37,3494,40.12,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202038,85206,3207,81999,1280812,3.8,0.2999999999999998,4.6,1,100,8709355,978.33,14706.16,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-38,-6116,-70.22,-6.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202039,68745,2512,66233,1349557,3.7,-0.09999999999999964,4.5,1,100,8709355,789.32,15495.49,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-39,-16461,-189.01,-19.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202040,68237,3629,64608,1417794,5.3,1.5999999999999996,4.6,1,100,8709355,783.49,16278.98,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-40,-508,-5.83,-0.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202041,89953,8961,80992,1507747,10,4.7,4.9,1,100,8709355,1032.83,17311.81,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-41,21716,249.34,31.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202042,127084,19505,107579,1634831,15.3,5.300000000000001,5.7,1,100,8709355,1459.17,18770.98,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-42,37131,426.34,41.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202043,178475,40196,138279,1813306,22.5,7.199999999999999,7.3,1,100,8709355,2049.23,20820.21,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-43,51391,590.06,40.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202044,218268,57721,160547,2031574,26.4,3.8999999999999986,9.4,1,100,8709355,2506.13,23326.34,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-44,39793,456.9,22.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202045,207986,55115,152871,2239560,26.5,0.10000000000000142,11,1,100,8709355,2388.08,25714.42,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-45,-10282,-118.05,-4.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202046,180784,43332,137452,2420344,24,-2.5,12,1,100,8709355,2075.74,27790.16,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-46,-27202,-312.34,-13.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
